provincia_id,provincia_nombre,canton_id,canton_nombre,parroquia_id,parroquia_nombre,parroquia_tipo,anio
01,AZUAY,0112,EL PAN,011250,EL PAN,CABECERA CANTONAL,2024
01,AZUAY,0112,EL PAN,011253,SAN VICENTE,PARROQUIA RURAL,2024
01,AZUAY,0113,SEVILLA DE ORO,011350,SEVILLA DE ORO,CABECERA CANTONAL,2024
01,AZUAY,0113,SEVILLA DE ORO,011351,AMALUZA,PARROQUIA RURAL,2024
01,AZUAY,0113,SEVILLA DE ORO,011352,PALMAS,PARROQUIA RURAL,2024
01,AZUAY,0114,GUACHAPALA,011450,GUACHAPALA,CABECERA CANTONAL,2024
01,AZUAY,0115,CAMILO PONCE ENRÍQUEZ,011550,CAMILO PONCE ENRÍQUEZ,CABECERA CANTONAL,2024
02,BOLÍVAR,0201,GUARANDA,020150,GUARANDA,CABECERA CANTONAL,2024
02,BOLÍVAR,0201,GUARANDA,020151,FACUNDO VELA,PARROQUIA RURAL,2024
02,BOLÍVAR,0201,GUARANDA,020153,JULIO E. MORENO,PARROQUIA RURAL,2024
02,BOLÍVAR,0201,GUARANDA,020155,SALINAS,PARROQUIA RURAL,2024
02,BOLÍVAR,0201,GUARANDA,020156,SAN LORENZO,PARROQUIA RURAL,2024
02,BOLÍVAR,0201,GUARANDA,020157,SAN SIMÓN,PARROQUIA RURAL,2024
02,BOLÍVAR,0201,GUARANDA,020158,SANTA FE,PARROQUIA RURAL,2024
02,BOLÍVAR,0201,GUARANDA,020159,SIMIÁTUG,PARROQUIA RURAL,2024
02,BOLÍVAR,0201,GUARANDA,020160,SAN LUIS DE PAMBIL,PARROQUIA RURAL,2024
02,BOLÍVAR,0202,CHILLANES,020250,CHILLANES,CABECERA CANTONAL,2024
02,BOLÍVAR,0202,CHILLANES,020251,SAN JOSÉ DEL TAMBO,PARROQUIA RURAL,2024
02,BOLÍVAR,0203,CHIMBO,020350,SAN JOSÉ DE CHIMBO,CABECERA CANTONAL,2024
02,BOLÍVAR,0203,CHIMBO,020351,ASUNCIÓN,PARROQUIA RURAL,2024
02,BOLÍVAR,0203,CHIMBO,020353,LA MAGDALENA,PARROQUIA RURAL,2024
02,BOLÍVAR,0203,CHIMBO,020354,SAN SEBASTIÁN,PARROQUIA RURAL,2024
